Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2005,,8875.955,1118.7041,,413.43808,12.91389,0.664552,2.1674392,464.51523,16.325916,0.20202528,0.75341433,2718.056,5781.9624,0.90658516,4.770865,4.320948,5.046443,55.23033,4.2890015,0.0,2683.5393,91.530334,1.7873293,0.0,2.8096015,0.20033775,2.9771097,13.094475,16096.544,0.0,999.6936,0.36991173,0.18837906,5.682381,9.472017,91.352264,53.272114,733.1581,660.8594,143.48082,10.798426,0.0,4.1302533,168.72728,,,0.48255283,34.911926,0.091411315,59.34407,43.636364,0.18451716,0.67208415,36.316128,5.5755525,7.753294,5413.392,26763.781,0.1114678,54.471096,83.51296,0.095309295,155.94118,0.46409714,,5.329678,0.22113632,181.04211,82.05547,,62.90394,,100.777725,75.42035,50.45547,3.0324168,137.59294,25.795336,,53.224903,0.0,7.167345,2762.0652,149.40504,34.930496,14.892691,1.4094859,0.5535122,138.42703,923.3564,3.3686821,9.274381,0.37423298,18.198261,29.487875,0.007817794,27.060171,12.956579,59.603493,132.47809,31.618135,66.7255,0.5558847,16.720337,416.40466,392.30545,7001.9653,26.55837,58.020065,,534.8692,0.0,43.343937,,108.40317,1.6148045,9.598742,0.0,302.48193,1.0490763,3.2633986,2.1821823,,411.66443,3.7817662,,347.50568,,25.551344,0.4580248,1076.8749,,1.7498996,0.76323783,1.5017761,62.087452,0.0,4.6669893,15.255425,27.386192,,0.9413504,0.25956497,7.8336835,,0.12091892,0.4065358,17.045,1.2375401,17.305326,0.5271771,,0.306002,51.520844,,1.1764015,0.70456105,0.770911,9829.156,0.72690356,54.18746,71.257614,1107.2024,0.7101207,2218.7034,77.09511,0.81998646,5.5890207,735.6444,71.31697,0.0,3716.04,,14.228271,5.0065374,14.637239,7.7118955,0.83058584,1.1121182,43.678883,87.14213,,468.5182,874.16895,0.64225477,790.6888,16.190775,26.468138,0.0,4.5117006,30.422777,246.00908,,3.9354722,122.331825,176.99278,3.2564607,0.2285972,31.574183,,248.07718,9.635704,,441.8245,,,5.800769,0.5233376,1.2458594,90.087395
2006,,8289.418,1031.6218,,461.48474,12.561394,5.190547,2.2411728,498.70065,22.327244,0.1408412,0.3627613,1447.1646,5041.3926,0.59724444,2.3811598,2.595015,5.324919,44.906662,5.630257,3.4444554,4920.865,97.50166,4.5156293,,3.8963692,0.3766345,10.369947,,16110.393,0.5334682,1637.1824,0.2869425,0.5081223,4.83367,10.666027,128.01988,59.104057,663.04047,536.7942,170.51103,12.071064,6.9284816,6.548899,297.7333,,,0.47419256,20.728622,0.13953152,55.97318,71.19713,0.18391058,1.5094441,24.798128,6.233078,9.199471,7166.1895,25693.732,5.463644,46.18063,91.70235,0.1898885,188.79791,0.12731703,,6.364621,0.2784553,158.56041,43.180103,,72.3427,,72.81589,70.65565,46.448273,0.8442184,180.66437,48.573196,,70.489716,0.11542198,13.51734,2172.6667,226.04941,31.015093,14.841528,1.5173775,0.117129624,139.63097,5070.177,10.530369,12.799479,0.18041192,24.472662,24.769047,0.12969029,45.79067,14.513328,47.194,131.7029,38.989082,0.0,2.7767062,25.795637,443.47003,257.8115,4599.0425,26.035866,97.80567,,574.6148,0.25706068,28.625525,,64.17192,1.5724754,15.270783,0.0,297.8589,1.3075926,4.7791095,3.0777502,,379.90036,4.1886635,6.017383,424.43527,21.455301,33.504066,1.0391066,1108.9509,,5.9345536,0.8485685,2.1765537,60.043476,,5.627749,8.882638,33.7156,,0.24857749,,9.979135,,0.16738631,1.4712934,14.267373,2.1333182,24.632397,0.9920791,,0.40013492,35.48092,,1.6065562,0.23754948,1.870977,9166.48,4.9340024,34.341568,110.60357,999.60736,2.8379514,2145.182,131.73805,2.450611,7.5264134,761.8326,106.45882,,4227.834,,18.110365,12.380881,13.781311,87.71334,0.17619927,1.4754132,67.4846,62.774303,,338.91797,454.49155,4.9919114,9.153297,13.38617,25.701149,4.705174,11.113515,27.400814,324.4127,49.613018,4.1320367,75.48447,134.76685,4.8031497,0.45291704,34.064888,,344.55978,14.035053,,455.5039,,,5.793632,1.0020347,1.6406201,101.088585
2007,,11801.129,895.8124,,507.2965,12.209863,5.4225693,2.9087808,518.85406,29.370012,0.27201736,0.22899987,180.35156,4603.3516,0.4988006,2.9595802,3.7593699,6.9160414,43.575134,6.1470428,3.9621558,1950.1323,51.876293,4.3901567,,4.367146,0.8607691,14.375337,,16296.197,0.83717036,2198.0037,1.6015873,0.43735337,5.7822986,11.244945,105.66529,63.706734,592.8062,495.5746,1276.1333,15.074522,5.6429315,8.241539,66.41107,,,0.93220365,13.339732,0.15498433,73.7539,84.226425,0.27464458,3.722637,31.000818,9.107542,8.055653,7609.5444,31780.393,0.0812892,19.24355,72.012856,0.094540924,203.15356,0.1585714,,7.4538536,0.31363827,297.53564,21.326197,,85.58023,,71.18675,70.15904,38.801105,0.8329005,265.0816,45.09948,,89.314735,0.12909992,15.775758,2326.922,237.6431,33.72505,8.668184,1.7179316,0.20484723,91.683075,8133.552,3.208604,22.104269,0.142111,28.22602,26.028107,0.40519118,32.18264,19.833656,42.477703,127.873795,35.266113,0.0,2.4554713,29.546751,165.31717,270.20392,2494.9783,31.764072,135.30751,,658.50775,0.2559806,14.266359,,29.989449,1.5317425,12.94151,,127.5641,1.3878915,4.622653,5.1188536,,387.70935,31.049036,2.3969262,397.52274,87.624016,42.293335,1.0005807,1069.9742,,5.277577,0.6850151,2.2630985,55.632423,,5.518926,9.067821,34.544563,,0.2661608,0.0,12.557629,,0.28414002,1.7119457,17.26188,3.0545542,27.121658,1.7018907,,0.47390962,7.656412,,2.442549,0.27496433,1.7807726,9131.8955,4.7161965,25.389645,64.79783,847.70166,3.2948394,1596.346,134.96628,2.545406,9.396843,558.5672,100.269226,,4039.2292,,18.855806,11.675511,6.4348235,2.3334801,0.18582729,1.9253461,59.02736,65.52342,,502.6049,363.2794,3.4603837,12.328898,12.719184,0.5970755,0.0,15.380322,23.827526,313.68924,,3.0167363,71.91409,55.20283,5.8570843,0.7169261,20.896725,0.0,577.35065,18.405483,,391.91293,,,6.6658196,0.93808305,1.5280428,112.19877
2008,,10698.016,794.1829,,501.4145,5.987092,4.045905,2.5702457,551.79126,30.14736,0.1731351,0.18021807,182.50769,3310.5435,0.5415646,3.413351,4.71225,6.755009,40.288822,6.424453,3.0714846,1883.6517,56.41514,5.9137964,,4.6188865,0.73594576,12.100367,,15292.289,1.4872,2743.81,0.29896182,0.41875336,5.8673363,13.132872,103.27015,74.577156,571.4975,484.30612,853.61566,59.747597,5.38533,7.972869,70.210464,,,0.9165659,13.046455,0.19972685,71.465454,81.317345,0.18202463,3.2695663,25.975843,7.29321,7.8926415,6618.2563,30598.107,0.056234386,18.547909,74.65543,,206.10956,0.15450734,,8.213133,0.28535822,319.6241,54.536205,,95.77861,,73.49305,70.76332,35.130165,0.60486376,279.5034,42.532665,,93.690285,0.12819254,13.928081,2248.5332,241.94237,16.0932,8.052619,1.6185528,0.1560413,91.44108,6570.409,3.1494179,20.980934,0.0956991,30.268198,26.924664,0.14279473,29.37322,24.69498,47.28097,122.74541,34.537342,0.0,2.2727044,31.94499,139.79568,263.24985,1968.6177,33.1653,170.59995,,667.6983,0.25425276,15.194708,,35.128643,1.4927183,11.136855,,146.87117,1.328628,4.461922,5.58101,,362.80017,11.719598,2.3868115,381.0849,202.25803,50.447327,0.90746444,1432.2352,,1.5690767,0.7369558,2.2016642,47.678158,,5.1360765,8.991402,27.489883,,0.2771542,,15.524247,,0.18771328,2.0940127,17.092957,3.0280125,25.519657,1.4541675,,0.61255723,6.276993,,3.5574946,0.3313112,1.7279536,8879.617,4.8355155,22.91162,71.66378,739.76965,3.0058548,1246.875,132.84961,2.205236,10.023545,551.6285,85.48253,,4811.289,,18.41112,9.30662,6.1905956,2.4196455,0.17353761,2.5498636,55.09761,70.279175,,479.9718,262.74884,2.6782084,7.372177,13.751084,0.6780114,4.6713257,16.616985,22.138674,299.55,,2.9644783,24.666378,60.693092,5.8749,0.69711703,22.902529,0.0,673.5887,20.678204,,385.2914,,2.6299593,7.0245466,0.8784184,1.4668244,129.82329
2009,,10511.554,629.0761,,530.3754,5.958978,6.1278687,1.4784052,611.23376,32.069176,0.10558686,0.17974678,187.3134,1053.0248,0.61038,4.3009934,6.2571344,6.911741,36.631866,6.083054,3.3075528,1804.3723,58.039406,5.118051,,5.690736,0.50655985,10.213871,,12833.54,1.6074982,3522.6365,0.2867585,0.24555278,7.6720796,13.448264,105.22806,77.17912,686.39966,479.91016,880.36914,41.747864,4.3465548,7.6448045,66.7303,,,0.9014068,10.171783,0.20633772,67.250015,74.042885,0.18105547,2.2897763,23.014647,6.940529,7.9804225,7242.804,29488.883,0.07290633,18.658281,71.44493,0.11238367,208.10187,0.1267699,,8.726702,0.23997611,383.1398,59.83268,,107.57586,,105.05347,72.06574,30.025984,0.54915047,298.38406,40.53993,,96.264175,0.14155355,14.224831,1774.2336,248.82387,15.34788,7.4858146,1.5908288,0.15439758,95.177956,5939.1934,1.5692724,18.012527,0.07011216,33.174995,29.530523,0.115451396,22.509228,23.779423,48.36965,119.22824,29.113722,0.0,1.1679478,33.482513,134.53175,325.5016,1815.8855,34.38208,183.65906,,702.0039,0.25241256,15.680051,,36.74061,1.4558902,7.1087875,,159.94768,1.2576995,4.3068547,5.7437644,,384.4024,18.962736,2.3764257,835.72375,407.6244,55.902958,0.58057094,1191.4918,,1.6419386,0.875256,1.8844593,44.189854,,5.0929294,9.632244,26.040369,,0.26372337,0.0,18.772287,,0.20909303,2.3466616,18.072655,2.8616452,21.704811,1.0457252,,0.91811967,5.399694,,3.5291746,0.283654,1.357727,2427.4177,4.161276,21.140188,76.07748,1283.3239,2.5972786,1065.049,132.16734,1.5497404,12.54463,254.27472,83.54436,,5670.8,,17.991072,8.094484,6.2394686,1.7193863,0.16131221,2.5335743,50.190083,81.51715,,462.4024,280.2712,0.73105127,7.423001,13.463944,0.6611364,4.6633525,17.330696,21.00335,201.99864,,2.7295244,23.983227,52.574085,5.5285454,0.768448,23.84452,,766.3702,21.85785,,392.43454,,,7.432199,0.7346045,1.489949,170.7476
2010,,10800.062,578.8883,,504.3481,6.1937146,6.024468,1.3393497,598.8571,32.81109,0.17162278,0.11954448,183.1887,896.4269,0.7314875,4.470534,7.0534406,6.60044,34.39284,6.676294,4.6260767,1652.7963,60.427246,6.5572543,,5.784522,0.5116108,10.535838,,10698.109,2.754401,3670.1956,0.25148478,0.25556657,6.768923,13.65835,185.64067,76.02172,695.25946,463.48254,883.436,55.738297,4.315477,7.726135,66.032814,,,0.8866616,7.750356,0.19670692,59.76875,74.050415,0.108149715,2.423581,18.417587,5.6975346,7.73913,7553.246,28412.191,0.08753115,18.175673,76.03173,0.111870445,203.09152,0.14191696,,9.709963,0.23330933,273.00272,79.19529,,115.21639,,115.90162,71.312195,25.733812,0.46742976,308.2437,39.13761,,99.56504,0.2253009,15.539308,1531.2881,264.05396,14.380014,6.8540945,1.4287305,0.15353961,88.84557,5422.954,1.5715215,17.582752,0.0747953,38.383553,30.806988,0.116238005,21.565845,20.637728,50.038574,112.4633,28.5144,21.335154,1.1851711,33.49897,132.80292,314.68137,1727.8832,35.350224,195.41191,,675.6232,0.25046888,16.399153,,33.93977,1.4214414,7.010193,,170.81544,1.1990979,4.434565,5.9925776,,384.10733,22.947344,1.1830008,847.868,513.06146,63.6627,0.52175653,1112.3962,,1.9489986,1.1331089,1.919334,48.013687,,4.797921,9.388339,24.854242,,0.31005475,,21.516384,,0.2530035,2.248454,20.065845,2.5905757,20.057745,0.9996146,,1.1397095,4.6147356,,3.6618664,0.2741368,1.4987872,2322.975,6.377111,19.214417,77.774284,1119.6349,2.6195352,1093.524,128.64632,1.4575479,14.071928,180.96602,82.03349,,6280.835,,17.600792,4.364184,2.9117982,1.711817,0.24524873,2.8786013,49.47733,82.06858,,436.24487,271.93076,0.5118152,7.4880977,12.993418,0.7375393,4.6548433,18.173204,20.053904,200.12471,,2.5358317,19.82353,54.033928,5.5746717,0.9705436,31.146173,,860.2033,23.242899,,387.29224,,,7.73705,0.7145034,1.5824606,180.28606
2011,,9078.812,531.2375,,465.4647,6.4266524,6.7227488,1.2125379,564.1287,37.058483,0.16904081,0.11914305,174.67294,1042.2125,0.7972008,4.5573316,7.574163,6.5413957,31.463316,17.650963,49.497227,1565.3433,62.452904,8.86021,0.0,5.9426427,0.5325557,15.2091255,,8173.254,4.243954,3567.5833,0.31254116,0.2527046,6.8119693,13.995141,673.64886,74.87528,693.68353,278.45462,874.84174,62.86823,4.3014703,7.201995,69.415085,,,0.8722251,7.2221375,0.20900871,62.72633,70.93944,0.10770353,2.403067,16.510685,5.950582,8.696601,8402.254,27385.537,0.08936543,16.950863,75.79282,0.111353695,172.61945,0.14435047,,10.101084,0.22831307,261.45572,77.91887,,123.52663,,129.65115,69.523735,21.017149,0.48609945,289.9378,41.15028,,102.92685,0.19599693,23.031204,1463.5724,339.40823,12.406156,6.4412546,1.286527,0.15285167,92.32288,4441.053,,17.708418,0.09442107,45.209316,29.971535,0.13739648,20.49104,20.419348,56.537296,103.24952,28.013735,14.919965,1.0340412,35.49523,125.82096,294.42596,1581.9995,68.924095,251.4347,,650.2054,0.24826032,17.268465,,34.272842,1.3897479,7.0034,14.719736,176.00536,1.2575417,5.6197367,6.482795,,376.24146,26.042784,1.1774819,838.9649,584.64746,72.199196,0.6215896,1139.627,,2.7987902,1.4149992,1.8208606,49.71274,,4.686694,10.00119,25.158741,394.14413,0.361995,0.10094955,24.923084,0.0,0.29662088,1.8850987,17.64353,2.6533034,18.727766,0.96184564,,1.6031862,4.739765,,4.167683,0.27469796,1.5650173,2287.245,5.135398,16.872095,76.21504,1010.35187,2.8078227,1383.4888,136.66281,1.2542834,13.020881,125.01452,110.42461,,8721.782,0.0,17.235344,3.95485,5.0202804,1.4642682,0.24340522,3.4888558,40.189198,87.11823,45.351475,334.13553,258.1227,0.52893025,7.719059,12.510089,0.7205831,6.5065436,21.21879,17.729126,188.32126,,2.5070949,16.963207,54.78984,5.5007334,1.2018272,43.947247,,1029.561,25.954918,,381.86328,,,8.414633,0.7962983,1.620746,184.12817
2012,,8462.464,76.469376,,431.92395,7.8066044,7.736302,1.0317416,545.31537,51.561157,0.18378614,0.17790219,165.74982,728.3662,0.81926465,4.337515,8.490426,6.5512304,29.28788,24.17153,51.934357,1411.8109,65.31703,10.46585,0.0,5.8578444,0.5450128,18.053865,,5797.114,5.9280562,3569.1265,0.34648135,0.20002683,6.535718,14.125305,429.15005,64.201355,695.2121,255.52388,862.0913,65.870834,4.29716,6.9683723,68.31711,,,0.8580723,5.9006376,0.21503678,64.75277,75.2119,0.107297845,2.7804234,15.026763,5.4456034,10.749133,9395.989,26404.146,0.11697567,34.401546,78.251526,0.09235353,143.61911,0.14674094,,10.233403,0.22201206,241.35187,90.7786,,128.75426,,149.91946,71.029564,17.78142,0.43445635,280.1617,42.34031,,107.196075,0.24996324,29.971035,1469.889,382.91837,10.941227,6.1393313,1.1140443,0.15216945,95.66769,2217.2263,,17.429523,0.10738207,50.641457,31.144835,0.13523202,20.611212,20.383562,61.265465,93.78331,30.277933,21.251276,1.1189611,35.63054,122.42711,288.40228,535.7364,84.6856,328.51474,,626.94086,0.24577717,16.296705,,32.536484,,7.177282,14.393459,176.53331,1.274377,5.687385,7.223189,,373.9972,884.1756,1.1720141,833.4355,639.5747,75.51522,0.6368681,932.48615,,4.421436,1.7377934,1.763149,49.985054,,4.6196704,10.225276,25.858753,560.53815,0.37835813,0.0996323,27.60495,,0.43067473,1.7479048,23.97009,2.8463042,17.620762,0.9772847,,2.1283453,4.282592,,4.4661736,0.30438057,1.7127321,2251.6926,6.4495087,13.899878,76.64163,898.9646,2.9967725,1540.8588,140.61832,1.2090653,10.459831,94.50353,133.6773,,9122.014,808.8975,16.362984,2.4882696,4.2739177,1.5584501,0.22060035,5.2497177,30.131071,3203.0693,43.54317,300.3102,220.86421,0.5443855,8.3478,12.188932,0.7049135,10.234843,23.86356,17.421082,179.9974,0.0,2.3409336,16.273783,54.637463,5.036868,1.4045362,39.618057,,1209.162,27.759516,,376.42126,,0.0,9.080789,0.7679068,1.609266,159.80736
2013,,8084.326,39.26527,,347.50656,6.647168,1.0725434,0.89473474,410.43262,56.770443,0.116197646,0.058952454,113.715546,695.7907,0.6809867,2.7453978,8.917566,6.2095876,25.810076,21.79436,54.887493,741.84607,46.352383,10.830272,,5.5604377,0.49476445,22.688885,,4350.8594,7.707806,5446.595,0.2663386,0.13595018,3.3244746,14.149374,357.7728,53.31183,659.13043,241.79018,859.58264,73.11086,4.294937,9.817324,65.96648,21.456333,10.225297,0.84466666,9.361475,0.20236525,75.850426,58.795692,0.106850296,2.9233346,9.483479,4.4979696,13.430738,10025.153,25468.043,0.1195039,26.481121,78.331955,0.0919277,121.02244,0.14288436,,9.409005,0.21742713,178.17726,76.85625,,130.08545,,160.75482,72.052734,14.559284,0.80236816,290.75146,43.022385,,106.663826,0.33038145,37.112133,1172.8022,378.03384,12.316287,5.7748127,0.85134655,0.15136163,93.3424,1137.8639,0.0,13.239788,0.10551678,53.921253,20.295773,0.12057282,12.041123,19.072264,39.656433,90.55906,18.445808,25.482035,0.98859286,27.681522,117.01028,66.31913,392.55112,52.31071,410.0819,,576.2207,0.48626095,7.335148,,11.326356,0.0,3.8179717,14.094035,64.83332,1.2360381,7.4985566,7.9395947,9.862711,80.56505,875.231,1.1669782,954.17554,85.5971,72.02249,0.20357971,916.8728,,5.5771236,1.9985378,1.5841311,50.52153,,3.6393287,17.217949,25.568813,783.8746,0.34773248,0.29526827,29.351217,,0.33678675,0.52166,23.06111,2.58801,15.970268,0.7033952,0.0,2.6376963,3.732429,,4.591492,0.2581685,1.5211167,2225.4727,0.73795295,11.618452,51.388584,756.69727,2.051606,1717.4047,144.52051,1.1326524,10.084847,79.01333,156.93506,,8716.355,1025.1221,16.049038,2.9875717,5.932994,1.312941,0.18748789,9.115045,23.504524,11392.126,44.54343,355.1071,141.39145,0.31498268,7.9958787,8.452106,0.6904307,14.940286,23.78495,12.197787,87.11434,,2.115757,23.10889,11.173557,4.3045015,1.4854234,16.663265,,1419.2462,28.068819,,346.80164,,0.0,8.231855,0.77543783,1.4936035,140.71118
2014,,7917.2275,34.859104,,349.75488,6.7792015,1.0198036,0.72285116,405.10767,59.695442,0.11442812,0.0584945,109.10447,671.09644,0.67795926,2.9918382,10.164862,6.880008,22.759209,26.202396,56.498356,613.858,45.35136,12.03666,,5.475215,0.48829216,29.458784,,3223.4834,10.773218,8912.207,0.2497596,0.19535452,3.1963382,15.187341,293.36993,48.681103,659.1117,291.36514,773.7307,81.51655,5.2699995,8.684478,66.42873,21.206852,9.970256,0.8320811,12.560349,0.2089066,86.764,49.72509,0.19490431,3.3735566,8.950381,5.032701,16.301876,11730.575,24646.682,0.12842414,25.866194,85.898705,0.091546826,101.02562,0.12984505,,9.047715,0.21120492,176.30212,78.86856,,132.89554,0.0,236.63281,75.008934,12.001466,0.99144703,283.84204,47.743473,,92.80976,0.3415533,45.867172,950.85065,358.1041,12.815778,5.559775,0.7948778,0.15027148,100.85882,1012.20087,0.0,12.244888,0.10385043,60.20569,19.461504,0.20158981,12.454897,18.557508,41.520283,84.861946,4.3350472,42.45203,0.9458032,26.57014,111.52932,67.14991,297.11026,65.1444,528.8696,,566.1504,0.7691971,6.204889,,10.3302,0.81925845,4.4525933,13.829346,66.71224,1.1266192,7.7365136,8.90935,10.037137,87.694626,772.7355,,945.1274,95.18877,74.21797,0.21327358,886.13495,,7.043311,2.1418,1.4920446,54.0624,,3.788526,48.917435,26.044703,1004.4643,0.36993358,0.29197666,30.868332,,0.3095307,0.62461835,156.79068,2.132525,14.387785,0.63603956,,3.3437204,3.4130306,,5.0095744,0.28828958,1.4333211,2201.3018,1.0367936,9.600274,48.68152,698.61584,2.1242752,1715.3503,163.29729,1.0077138,11.346782,72.53812,177.96666,,8294.391,5484.665,12.196362,2.954569,5.8353853,1.2145385,0.18563518,13.288686,21.975292,19175.076,42.763065,339.96115,124.06896,0.3175898,8.569164,7.7362614,1.0999118,17.819126,26.105894,13.091727,81.86205,,1.67423,19.719448,516.8691,3.5455256,1.5412451,15.84886,,1614.058,26.472462,,341.86456,,0.0,8.67787,0.75906324,1.9439684,158.2137
2015,,7881.0366,42.10201,,358.92767,6.9256873,1.0490358,0.4278123,383.7834,62.62511,0.08769,0.0,99.52979,2649.9014,0.5853486,3.5209157,11.433905,7.625648,17.610552,30.810656,56.05221,533.2608,43.394905,13.470243,,5.138584,0.44279045,34.0503,0.0,2391.095,13.88841,10176.285,0.20299071,0.19314481,3.0696552,15.250038,281.65262,46.412186,668.20935,289.7844,724.1142,75.686165,5.2692695,7.7624846,60.54952,21.005756,9.729993,0.0,12.162192,0.18640909,103.791374,49.69544,0.19353597,3.660818,8.670767,6.1845927,18.001486,13119.334,23968.395,0.12852456,23.962027,82.643074,0.18249111,96.56156,0.13863999,0.0,8.525274,0.19577222,171.56482,80.01792,,144.42839,0.0,380.88943,82.397545,9.766666,1.0257925,235.41516,64.38871,,66.94931,0.44797936,74.123344,799.5732,330.33524,14.706464,5.3273644,0.7441128,0.10632649,102.82093,703.09436,0.0,9.772858,0.113907784,66.26141,19.235746,0.10999729,12.513703,16.781157,41.62032,81.94196,0.0,53.069542,0.6786455,28.061281,108.19438,67.254074,214.01732,93.03679,577.9818,,558.79956,0.7602344,4.9212413,,9.4545965,0.8036195,5.0855894,13.592497,69.63441,1.1208689,9.108638,9.366303,10.241075,89.32692,829.3541,0.0,884.3459,102.8425,73.84443,0.20717523,873.83655,,7.8156257,2.5108883,1.3927667,53.57357,,6.9359827,88.095314,23.888443,998.3361,0.37410647,0.19268651,32.529903,,0.34676808,0.86023605,137.09088,1.5656431,11.790161,0.5526384,,3.8315284,3.3920174,,4.2775555,0.27000278,1.4287788,2167.6792,0.86514455,8.71118,46.114582,2460.1062,2.288578,1566.743,145.73091,0.9049212,11.103761,69.62541,238.9841,,8134.6167,7010.733,11.981548,3.266659,5.996002,1.0194442,0.18368316,18.638073,17.716114,25087.941,38.217953,101.86633,114.49526,0.2962825,9.139458,7.1752944,1.5765895,20.733202,25.81882,13.628865,74.41802,,1.5570648,16.815233,701.9759,2.4940455,1.4791807,13.64907,,1704.1365,24.383488,,337.36374,,0.0,51.031185,0.78803265,2.036698,148.1491
2016,,7208.654,28.742691,,381.65988,0.0,1.140532,0.27334657,366.82935,91.13136,0.061652374,0.0,102.52893,3630.6553,0.38825676,4.0947714,12.16456,8.60757,11.210202,32.24658,76.79225,523.8703,40.33028,15.902741,,4.7405996,0.39514196,51.501408,0.0,1572.0479,11.857969,10413.96,0.20905916,0.059702184,2.7097712,14.797736,180.1157,44.103043,640.1822,254.49278,655.7237,77.11545,1.9510063,4.1503983,52.726814,20.859781,9.505553,0.0,12.020571,0.080956884,138.48466,28.72449,0.0,3.4023824,9.069608,6.3071256,19.471771,14633.309,23345.568,0.07275409,23.026941,78.672646,0.09098406,86.05618,0.07682043,,7.951207,0.11837308,168.90552,52.89076,,145.24936,,507.44928,90.07052,8.685897,0.937311,86.84551,77.13556,,35.230038,0.20248364,111.650826,634.14465,278.04062,29.651815,4.9337287,0.54228437,0.0,112.27717,821.5728,0.0,5.931786,0.08102106,71.105255,19.177786,0.04167979,12.884184,15.633672,42.08917,78.39623,,104.03618,0.4737042,25.299852,104.63467,74.63158,137.90038,133.15482,565.32556,,536.1383,0.23469506,2.579198,,8.418956,0.78824943,6.3957133,13.404467,71.5301,1.1187761,13.083219,8.49643,10.475592,88.208244,815.0309,,952.0892,114.21779,75.04567,0.17558551,887.3516,,8.20556,2.4319758,1.4249902,55.87854,,5.9461203,117.31767,22.606705,1052.0487,0.18599576,0.19098644,29.91901,,0.53024876,0.79710674,47.8875,0.81904453,8.420133,0.3991166,,4.474589,3.0290153,,5.5217605,0.19330437,1.0881517,2110.931,0.9617671,6.0423574,43.05088,2400.022,3.0503483,1576.3274,153.34047,0.6812556,10.718809,64.92408,316.362,,7055.114,13265.86,15.218309,2.7221763,14.592994,0.9702243,0.13100506,19.486462,9.104483,28782.736,36.513485,93.78979,105.56995,0.20745179,10.512516,5.833296,1.5468358,23.688599,20.528437,14.633077,70.928986,,1.075728,16.054474,524.06537,0.6806186,0.09174328,12.22328,,1255.112,24.517548,,350.36234,,0.0,57.38885,0.78938794,1.5135008,124.2509
